,model,explore,view,view_file_missing,is_orphan
243,Risk_Ops,cbd_merchant_transactions,pentagon_fact_payment_transactions,True,False
244,Risk_Ops,cbd_merchant_transactions,app_risk_chargebacks,True,False
245,Risk_Ops,cbd_merchant_transactions,pentagon_dim_foreign_exchange_rates,True,False
246,Risk_Ops,cbd_merchant_transactions,app_risk_disputes,False,False
247,Risk_Ops,cbd_merchant_transactions,skeptic_internal_suspicions,False,False
248,Risk_Ops,cbd_merchant_transactions,pentagon_fact_refunds,True,False
249,Risk_Ops,cbd_merchant_transactions,suspicion_cases,False,False
250,Risk_Ops,cbd_merchant_transactions,pentagon_dim_user,True,False
251,Risk_Ops,cbd_merchant_transactions,risk_fake_account_merchants,False,False
252,Risk_Ops,cbd_merchant_transactions,pentagon_aggregate_seller_lifetime_summary,True,False
253,Risk_Ops,cbd_merchant_transactions,instant_deposit_payments,False,False
254,Risk_Ops,cbd_merchant_transactions,fact_daily_deposits,True,False
255,Risk_Ops,cbd_merchant_transactions,pentagon_dim_card,True,False
256,Risk_Ops,cbd_merchant_transactions,payments_bank_lookup,True,False
257,Risk_Ops,cbd_merchant_transactions,fact_activations_funnel,True,False
258,Risk_Ops,cbd_merchant_transactions,risk_chargebacks,False,False
259,Risk_Ops,cbd_merchant_transactions,uk_risk_latest_sqrr_score,False,False
260,Risk_Ops,cbd_merchant_transactions,credit_risk_limits,False,False
261,Risk_Ops,reserves_summary,reserves_summary,False,False
262,Risk_Ops,reserves_summary,owh_dim_report_period,True,False
263,Risk_Ops,reserves_summary,owh_dim_unit,True,False
264,Risk_Ops,reserves_summary,owh_dim_merchant,False,False
265,Risk_Ops,reserves_summary,temp_map_us_postal_code_to_dma,True,False
266,Risk_Ops,reserves_summary,ledger_pbs,False,False
267,Risk_Ops,reserves_summary,cbd_units,False,False
268,Risk_Ops,reserves_summary,aggregate_seller_daily_payment_summary,True,False
269,Risk_Ops,reserves_summary,regulator_comments_sellers,False,False
270,Risk_Ops,reserves_summary,reserves_support_contacts,False,False
271,Risk_Ops,reserves_summary,reserves_unit_segments,False,False
272,Risk_Ops,reserves_summary,reserve_perf_stats,False,False
273,Risk_Ops,reserves_performance_comparison,reserves_unit_segments,False,False
274,Risk_Ops,reserves_performance_comparison,reserves_summary,False,False
275,Risk_Ops,reserves_performance_comparison,ledger_pbs,False,False
276,Risk_Ops,reserves_performance_comparison,cbd_units,False,False
277,Risk_Ops,reserves_performance_comparison,aggregate_seller_daily_payment_summary,True,False
278,Risk_Ops,reserves_performance_comparison,app_risk_chargebacks,True,False
279,Risk_Ops,reserves_performance_comparison,pentagon_dim_foreign_exchange_rates,True,False
280,Risk_Ops,reserves_performance_comparison,regulator_comments_sellers,False,False
281,Risk_Ops,pay_with_cash_chargebacks,pay_with_cash_chargebacks,False,False
282,Risk_Ops,reserves_hold_comparison,reserves_hold_comparison,False,False
283,Risk_Ops,reserves_hold_comparison,reserves_summary,False,False
284,Risk_Ops,reserves_hold_comparison,aggregate_seller_daily_payment_summary,True,False
285,Risk_Ops,cash_didv_fail_reasons,cash_didv_fail_reasons,False,False
286,Risk_Ops,ledger_hold,ledger_hold,True,False
287,Risk_Ops,ledger_hold,regulator_audit_log_token_split,False,False
288,Risk_Ops,ledger_hold,risk_disputes,False,False
289,Risk_Ops,ledger_hold,refunds_summary,False,False
290,Risk_Ops,payment_holds,payment_holds,True,False
291,Risk_Ops,payment_holds,ledger_hold,True,False
292,Risk_Ops,payment_holds,pentagon_fact_payment_transactions,True,False
293,Risk_Ops,payment_holds,pentagon_dim_user,True,False
294,Risk_Ops,payment_holds,app_risk_chargebacks,True,False
295,Risk_Ops,payment_holds,pentagon_dim_foreign_exchange_rates,True,False
296,Risk_Ops,payment_holds,risk_cases_reviewed,False,False
297,Risk_Ops,invoice_state_payments,invoice_state_payments,True,False
298,Risk_Ops,invoice_state_payments,risk_chargebacks,False,False
299,Risk_Ops,invoice_state_payments,pentagon_dim_foreign_exchange_rates,True,False
300,Risk_Ops,tipping_pos_rst_invoice_appt,tipping_pos_rst_invoice_appt,False,False
301,Risk_Ops,tipping_pos_rst_invoice_appt,risk_chargebacks,False,False
302,Risk_Ops,tipping_pos_rst_invoice_appt,pentagon_dim_foreign_exchange_rates,True,False
303,Risk_Ops,tipping_pos_rst_invoice_appt,pentagon_dim_user,True,False
304,Risk_Ops,tipping_pos_rst_invoice_appt,tipping_tiers,False,False
305,Risk_Ops,tipping_tiers,tipping_tiers,False,False
306,Risk_Ops,tipping_tiers,risk_chargebacks,False,False
307,Risk_Ops,tipping_tiers,pentagon_dim_foreign_exchange_rates,True,False
308,Risk_Ops,unit_overview_post_bank_change,unit_overview_post_bank_change,False,False
309,Risk_Ops,units_with_sketchy_login_pre_2fa_change,units_with_sketchy_login_pre_2fa_change,False,False
310,Risk_Ops,ato_captcha_rule_performance,ato_captcha_rule_performance,False,False
311,Risk_Ops,ato_email_2fa_bank_change,ato_email_2fa_bank_change,False,False
312,Risk_Ops,ato_email_2fa_bank_change_dollar_sum,ato_email_2fa_bank_change_dollar_sum,False,False
313,Risk_Ops,ato_email_or_2fa_bank_change,ato_email_or_2fa_bank_change,False,False
314,Risk_Ops,veriff_ab_test,veriff_ab_test,False,False
315,Risk_Ops,veriff_accuracy,veriff_accuracy,False,False
316,Risk_Ops,collusion_hyp1_6month_total_spend_multiplier_holly,collusion_hyp1_6month_total_spend_multiplier_holly,False,False
317,Risk_Ops,collusion_hyp2_6month_average_payment_multiplier,collusion_hyp2_6month_average_payment_multiplier,False,False
318,Risk_Ops,collusion_hyp3_6month_payment_count_multiplier,collusion_hyp3_6month_payment_count_multiplier,False,False
319,Risk_Ops,afterpay_rules_holly,afterpay_rules_holly,False,False
320,Risk_Ops,location_name_changes_keyword_check,location_name_changes_keyword_check,False,False
321,Risk_Ops,suspicious_location_names_keywords,suspicious_location_names_keywords,False,False
